Name,Comment,Link,Shop
Nikki-Rilie,"Quick response time, nati is very kind and responsive and green ghost provides  good delivery services!! Cute NFT options that give discounts in store.",https://maps.app.goo.gl/8kMLZcsKG5QrEP818,Phuket
Muhd,5 star service Tom! 100% recommended!! 😍 …,https://maps.app.goo.gl/kHGhdwAtBpbV1B3f9,Phuket
adi mohan,"Great place, mango sticky rice is recommended. Amazing atmosphere. Toby is a great host",https://maps.app.goo.gl/sGqDguwq2wuPAYyi9,Rawai
D,"Anne is the most kind and lovely lady. She was the most friendly person in karon, she speaks very good English, and she want to make you feel like home here.",https://maps.app.goo.gl/eekGED3a3W5VZUcP8,Karon
Da Lisa Ball,We are are visiting the Karon Beach area for 11 days from California so you know finding good weed was our top priority.,https://maps.app.goo.gl/XWAL7t9jweBLEX3H7,Rawai
Corby Murdoch,"One of the best shops in Rawai Phuket! I spent about 9 days in Rawai and visited this shop every day, it may not be the best looking place.",https://maps.app.goo.gl/RnGvYL6SNAQ7Zr8w6,Rawai
Tim K,"Best place for buying weed in Phuket because of the owner. She is very good person, and very interesting. I like such kind people.",https://maps.app.goo.gl/XSS9q6cpP3jxtk7V8,Rawai
apek 707,"good service , good mary jane , good price",https://maps.app.goo.gl/dK4WVZXm6izVaiNw6,Karon
Enoi End,"The choice is normal, prices from 100-150 baht to 600. There are promotions 4 g + 1 g as a gift. I recommend",https://maps.app.goo.gl/EGmkaHcu7fqSGq5c8,Karon
Sakaar Pandey,Amazing service got it delivered to patong and they cut my delivery fee!! ❤️ send step by step photos also when rolling joints out. Will def be back.,https://maps.app.goo.gl/bK4g7rRUFP84ACMH9,Phuket
Darragh,Amazing friendly and helpful owner! Delivery available And high quality products.. Love the CBD here,https://maps.app.goo.gl/bSeeiJxNkQ6dmk1S8,Phuket
Frank,Green Ghost WOW Phuket's hidden treasure for smokers.Friendly helpful and may I say pretty owner was so informative and kind.,https://maps.app.goo.gl/MqPt6fCHgCBugi1W7,Rawai
Mckayla Tarnowski,haven’t even landed in country yet and is so kind and helpful on whatsapp! can’t wait to visit store ❤️ updated review wish could give her 10 stars!!!,https://maps.app.goo.gl/jCow8mmWbdJvRmAq8,Rawai
Bella Soares,Thanks for making my day 🤓 …,https://maps.app.goo.gl/EPFVoaRMt498d29f6,Karon
Maze Wy,"Great shop, good products and a super friendly owner – absolutely recommendable! :)",https://maps.app.goo.gl/nmo6tqbBvSmXUDSA8,Karon
